Outlet_ID,Outlet_Name,Staff_Score,Workforce_Category,Workforce_Alert_Level,Latest_Scheduling_Status,Marketing_Score,Effectiveness_Category,Marketing_Alert_Level,Average_Campaign_ROI,Inventory_Score,High_Risk_SKUs,Recommended_Replenishment_Units,Inventory_Priority,Inventory_Action,Inventory_Status,Operational_Health_Score,Cross_Functional_Risks,Primary_Focus_Area,Operational_Priority,Operational_Insight,Recommended_Action
OUT0001,Franchise Outlet 0001,66.38,Meets Expectations,Medium,Overstaffed,60.6,Moderate,Low,2.1,35.0,0,899,Medium,REORDER,Low,54.94,3,Inventory,High,Operational health is 54.9/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 899 replenishment units before the next demand cycle.
OUT0002,Franchise Outlet 0002,62.74,Needs Improvement,High,Overstaffed,54.98,Moderate,Medium,1.02,100.0,0,178,Low,NO_ACTION,Healthy,71.2,2,Marketing,Medium,Operational health is 71.2/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0003,Franchise Outlet 0003,95.03,Top Performer,Medium,Understaffed,76.72,High Performing,Low,2.16,35.0,0,2500,Medium,REORDER,Low,70.61,1,Inventory,Medium,Operational health is 70.6/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,500 replenishment units before the next demand cycle."
OUT0004,Franchise Outlet 0004,61.83,Needs Improvement,High,Overstaffed,47.61,Moderate,Medium,1.09,35.0,0,381,Medium,REORDER,Low,48.8,3,Inventory,High,Operational health is 48.8/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 381 replenishment units before the next demand cycle.
OUT0005,Franchise Outlet 0005,78.53,Meets Expectations,Medium,Understaffed,56.76,Moderate,Low,2.01,100.0,0,1038,Low,NO_ACTION,Healthy,77.35,1,Marketing,Medium,Operational health is 77.3/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0006,Franchise Outlet 0006,61.77,Needs Improvement,High,Overstaffed,50.07,Moderate,Medium,1.1,100.0,0,215,Medium,MONITOR_WASTAGE,Healthy,69.14,2,Marketing,Medium,Operational health is 69.1/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0007,Franchise Outlet 0007,77.95,Meets Expectations,Low,Balanced,55.13,Moderate,Low,1.27,10.0,1,958,High,URGENT_REORDER,Critical,49.58,2,Inventory,High,Operational health is 49.6/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is urgent reorder.,Complete the inventory action and plan 958 replenishment units before the next demand cycle.
OUT0008,Franchise Outlet 0008,60.25,Needs Improvement,High,Overstaffed,52.48,Moderate,Low,1.36,35.0,0,488,Medium,REORDER,Low,49.96,3,Inventory,High,Operational health is 50.0/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 488 replenishment units before the next demand cycle.
OUT0009,Franchise Outlet 0009,93.14,Top Performer,Medium,Understaffed,79.64,High Performing,Low,3.07,100.0,0,3099,Low,NO_ACTION,Healthy,90.47,0,Marketing,Low,Operational health is 90.5/100 with 0 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0010,Franchise Outlet 0010,77.08,Meets Expectations,Low,Balanced,63.11,Moderate,Low,2.35,100.0,0,1014,Low,NO_ACTION,Healthy,79.07,1,Marketing,Medium,Operational health is 79.1/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
